,0_x,0_b,0_y,record
0,True,False,0.35495555,0
1,True,False,0.35445685,0
2,True,False,0.35312765,0
3,True,False,0.35032890000000005,1
4,True,False,0.3489607,1
5,True,False,0.34634875,1
6,True,False,0.3472033,1
7,True,False,0.34742625,1
8,True,False,0.34937185,1
9,True,False,0.35118685,1
10,True,False,0.35133275,1
11,True,False,0.35027820000000004,1
12,True,False,0.35202845,1
13,True,False,0.35207315,1
14,True,False,0.35480735,1
15,True,False,0.35716020000000004,1
16,True,False,0.35687635,1
17,True,False,0.35641795,1
18,True,False,0.35612235000000003,1
19,True,False,0.3567229,1
20,True,False,0.35875,1
21,True,False,0.3579205,1
22,True,False,0.35906,1
23,True,False,0.35940025,1
24,True,False,0.3609859,1
25,True,False,0.35921075,1
26,True,False,0.3568551,1
27,True,False,0.35713809999999996,1
28,True,False,0.35606245000000003,-1
29,True,False,0.3542504,-1
30,False,False,0.35255890000000006,-1
31,False,False,0.35484365,-1
32,False,False,0.35553505,-1
33,False,False,0.3550662,-1
34,False,False,0.35380905,-1
35,False,False,0.35170705,-1
36,False,False,0.35326465,-1
37,False,False,0.35228725,-1
38,False,False,0.35098075,-1
39,False,False,0.35158075,-1
40,False,False,0.3503373,-1
41,False,False,0.35065425,-1
42,False,False,0.35159255,-1
43,False,False,0.35190015,-1
44,False,False,0.35248565,-1
45,False,False,0.34935,-1
46,False,False,0.34792235,-1
47,False,False,0.34794385,-1
48,False,False,0.34750715,-1
49,False,False,0.34659395,-1
50,False,False,0.34626995,-1
51,False,False,0.3457947,-1
52,False,False,0.34454645,-1
53,False,False,0.3432626,-1
54,False,False,0.3415217,-1
55,False,False,0.341,-1
56,False,False,0.341,-1
57,False,False,0.3423452,-1
58,False,False,0.3433776,-1
59,False,False,0.34133779999999997,-1
60,False,False,0.33989,-1
61,False,False,0.3375881,-1
62,False,False,0.33698345,-1
63,False,False,0.3369133,-1
64,False,False,0.33615805,-1
65,False,False,0.33324000000000004,-1
66,False,False,0.32947295,-1
67,False,False,0.3285691,-1
68,False,False,0.32626095,-1
69,False,False,0.32847170000000003,-1
70,False,False,0.32500490000000004,-1
71,False,False,0.32552485,-1
72,False,False,0.326712,-1
73,False,False,0.32829440000000004,-1
74,False,False,0.33297635000000003,-1
75,False,False,0.3359517,-1
76,False,False,0.33635025,-1
77,False,False,0.33667945,-1
78,False,False,0.33378575,-1
79,False,False,0.3313331,-1
80,False,False,0.32845845,-1
81,False,False,0.3286257,-1
82,False,False,0.32451085,-1
83,False,False,0.32048385,-1
84,False,False,0.3197021,-1
85,False,False,0.31393915,-1
86,False,False,0.31248515,-1
87,False,False,0.31233714999999995,-1
88,False,False,0.31796640000000004,-1
